Sl. No.,State/UT,Educational Standard - Illiterate,Educational Standard - Below Class X,Educational Standard - Class X & above but below Graduation,Educational Standard - Graduate,Educational Standard - Holding Tech. Degree/ Diploma,Educational Standard - Post Graduate,Educational Standard - Total,Domicile - Belongs to State,Domicile - Belongs to other State,Domicile - Belongs to other Country,Domicile - Total,Convicts - Male Special Prison,Convicts - Female Special Prison,Convicts - Transgender Special Prison,Convicts - Total  Special Prison,Undertrials - Male  Special Prison,Undertrials - Female  Special Prison,Undertrials - Transgender  Special Prison,Undertrials - Total  Special Prison,Detenues - Male  Special Prison,Detenues - Female  Special Prison,Detenues - Transgender  Special Prison,Detenues - Total  Special Prison,Hindu,Muslim,Sikh,Christian,Others,Total (Religion),Convicts - Male,Convicts - Female,Convicts - Transgender,Convicts - Total,Undertrials - Male,Undertrials - Female,Undertrials - Transgender,Undertrials - Total,Detenues - Male,Detenues - Female,Detenues - Transgender,Detenues - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Total - Male,Total - Female,Total - Transgender,Total - Total,16 - 18 Years - No. of Convicts,16 - 18 Years - % Share,18 - 30 Years - No. of Convicts,18 - 30 Years - % Share,30 - 50 Years - No. of Convicts,30 - 50 Years - % Share,50 Years & Above - No. of Convicts,50 Years & Above - % Share,Total - No. of Convicts (AgeGroup),Total - % Share (Agegroup),Offences affecting the Human Body - Murder - (Col. 3),Offences affecting the Human Body - C.H. not amounting to Murder - (Col. 4),Offences affecting the Human Body - Dowry Deaths - (Col. 5),Offences affecting the Human Body - Attempt to Murder - (Col. 6),Offences affecting the Human Body - Kidnapping & Abduction - (Col. 7),Offences affecting the Human Body - Rape - (Col. 8),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty - (Col. 9),Total Offences affecting the Human Body - (Col. 10),Offences against Public Tranquility - Riots - (Col. 11),Offences against Property - Thefts - (Col. 12),Offences against Property - Extortion - (Col. 13),Offences against Property - Robbery - (Col. 14,Offences against Property - Dacoity - (Col. 15),Offences against Property - Prep. and Assembly for Dacoity - (Col. 16),Offences against Property - Criminal Breach of Trust - (Col. 17),Offences against Property - Cheating - (Col. 18),Offences against Property - Arson - (Col. 19),Offences against Property - Burglary - (Col. 20),Total Offences against Property - (Col. 21),Offences relating to Documents & Property Marks - Counterfeiting - (Col. 22),Other Crime Against Women - Cruelty by Husband or Relatives of Husband - (Col. 23),Other Crime Against Women - Insult to the Modesty of Women - (Col. 24),Total Other Crime Against Women - Col (23) + Col (24) - (Col. 25),Undertrials of offences against women (Total of Col. 5 + Col. 8 + Col. 9 + Col.23 + Col.24) - (Col. 26),Other IPC Crimes - (Col. 27),Total Undertrials (IPC Crimes) - (Col. 28)
1,Andhra Pradesh,1882,1847,883,277,49,63,5001,2243,114,3,2360,0,0,0,0,0,0,0,0,0,0,0,0,1891,251,0,194,24,2360,2250,107,0,2357,4668,321,2,4991,13,0,0,13,1,0,0,1,6932,428,2,7362,0,0,851,36.1,1151,48.8,358,15.2,2360,100,484,53,60,331,50,211,25,1214,0,580,19,103,88,27,23,106,1,97,1044,34,102,8,110,406,345,2747
2,Arunachal Pradesh,31,54,38,4,0,0,127,92,34,0,126,0,0,0,0,0,0,0,0,0,0,0,0,52,6,0,42,26,126,122,4,0,126,121,6,0,127,0,0,0,0,0,0,0,0,243,10,0,253,0,0,54,42.9,60,47.6,12,9.5,126,100,31,4,0,1,8,9,0,53,0,23,4,13,0,0,0,0,19,10,69,0,0,0,0,9,4,126
3,Assam,3097,2232,930,224,4,8,6495,2687,87,5,2779,80,3,0,83,146,5,0,151,0,0,0,0,1335,1313,45,53,33,2779,2701,73,0,2774,6231,219,0,6450,0,0,0,0,0,0,0,0,8932,292,0,9224,0,0,603,21.7,1637,58.9,539,19.4,2779,100,1741,266,66,544,401,318,57,3393,17,1202,59,127,76,0,25,22,39,270,1820,29,159,1,160,601,197,5616
4,Bihar,11675,17502,11623,2606,387,394,44187,7605,125,11,7741,0,0,0,0,0,0,0,0,0,0,0,0,6493,1225,7,10,6,7741,7431,299,0,7730,42698,1413,2,44113,4,0,0,4,2,0,0,2,50135,1712,2,51849,0,0,2066,26.7,3654,47.2,2021,26.1,7741,100,6140,508,1639,4974,1833,1537,315,16946,166,2831,326,1743,1289,363,219,413,58,290,7532,74,642,27,669,4160,503,25890
5,Chhattisgarh,3268,5997,1940,541,67,150,11963,5785,311,6,6102,0,0,0,0,0,0,0,0,0,0,0,0,5632,212,32,219,7,6102,5790,306,0,6096,11377,573,2,11952,1,0,0,1,2,0,0,2,17170,879,2,18051,0,0,2442,40,2702,44.3,958,15.7,6102,100,2873,196,123,1383,294,2565,290,7724,37,483,14,328,281,24,76,161,13,373,1753,44,32,14,46,3024,732,10336
6,Goa,169,128,115,7,0,0,419,70,34,1,105,0,0,0,0,0,0,0,0,0,0,0,0,76,11,0,18,0,105,99,5,0,104,341,20,1,362,0,0,0,0,0,0,0,0,440,25,1,466,0,0,35,33.3,55,52.4,15,14.3,105,100,113,0,0,22,15,37,24,211,0,32,0,21,3,0,0,22,0,0,78,0,0,0,0,61,43,332
7,Gujarat,2162,5307,1986,478,156,106,10195,3666,159,28,3853,69,3,0,72,283,6,0,289,211,5,1,217,3050,755,12,33,3,3853,3660,161,4,3825,9759,377,9,10145,1143,25,1,1169,0,0,0,0,14562,563,14,15139,0,0,1092,28.3,2014,52.3,747,19.4,3853,100,3265,75,15,420,502,1651,92,6020,77,613,66,231,296,47,319,23,11,152,1758,84,138,0,138,1896,297,8374
8,Haryana,3002,6048,4786,777,160,178,14951,2556,777,5,3338,0,0,0,0,0,0,0,0,0,0,0,0,2559,558,177,44,0,3338,3232,100,1,3333,14413,488,5,14906,12,0,0,12,0,0,0,0,17657,588,6,18251,0,0,1472,44.1,1486,44.5,380,11.4,3338,100,4108,189,389,1303,855,1552,251,8647,93,1740,109,502,550,187,211,184,20,253,3756,33,77,16,93,2285,0,12622
9,Himachal Pradesh,239,653,539,87,23,33,1574,631,159,63,853,0,0,0,0,0,0,0,0,0,0,0,0,777,38,33,2,3,853,766,24,0,790,1383,72,0,1455,0,0,0,0,0,0,0,0,2149,96,0,2245,0,0,149,17.5,523,61.3,181,21.2,853,100,398,3,0,42,32,325,10,810,0,21,1,5,2,0,4,2,0,8,43,0,5,0,5,340,57,915
10,Jharkhand,3555,8230,3954,895,304,165,17103,4861,223,0,5084,0,0,0,0,0,0,0,0,0,0,0,0,3604,642,42,361,435,5084,4858,226,0,5084,16425,675,0,17100,3,0,0,3,0,0,0,0,21286,901,0,22187,0,0,1339,26.3,2709,53.3,1036,20.4,5084,100,4085,220,779,1611,801,1793,268,9557,139,1441,228,463,555,155,206,802,41,155,4046,62,410,16,426,3266,134,14364
11,Karnataka,2064,4765,2198,1081,346,123,10577,3467,210,11,3688,0,0,0,0,53,0,0,53,0,0,0,0,2856,681,4,79,68,3688,3469,208,0,3677,10068,354,0,10422,40,2,0,42,1,0,0,1,13578,564,0,14142,0,0,1319,35.8,1895,51.4,474,12.9,3688,100,2856,91,100,757,441,1155,140,5540,172,968,209,391,390,163,23,216,11,370,2741,52,113,13,126,1521,791,9422
12,Kerala,851,1270,1135,181,97,35,3569,2165,253,8,2426,21,0,0,21,979,7,0,986,0,0,0,0,1147,792,0,472,15,2426,2359,59,0,2418,3448,69,1,3518,41,0,0,41,8,0,0,8,5856,128,1,5985,0,0,481,19.8,1242,51.2,703,29,2426,100,432,244,25,293,166,430,66,1656,62,415,5,195,87,57,32,58,3,123,975,69,25,15,40,561,237,3039
13,Madhya Pradesh,8128,14004,6167,2320,374,719,31712,12764,877,11,13652,0,0,0,0,0,0,0,0,0,0,0,0,11643,1775,102,45,87,13652,13106,534,1,13641,30415,1274,6,31695,79,0,0,79,39,2,0,41,43639,1810,7,45456,0,0,5834,42.7,5971,43.7,1847,13.5,13652,100,6678,940,938,2553,1018,4951,681,17759,179,1581,158,1071,518,473,208,587,50,544,5190,131,244,59,303,6873,2154,25716
14,Maharashtra,4224,12745,6360,1656,769,417,26171,4868,614,68,5550,6,0,0,6,133,8,0,141,0,0,0,0,3685,1124,72,89,580,5550,5278,204,0,5482,24683,1100,8,25791,102,2,0,104,0,0,0,0,30063,1306,8,31377,4,0.1,1560,28.1,3015,54.3,971,17.5,5550,100,7255,657,148,1976,922,2740,420,14118,135,1846,128,1057,1087,459,291,812,72,552,6304,135,251,75,326,3634,886,21904
15,Manipur,35,383,56,28,1,3,506,97,1,7,105,0,0,0,0,0,0,0,0,0,0,0,0,73,12,0,16,4,105,94,4,0,98,455,39,0,494,13,0,0,13,0,0,0,0,562,43,0,605,0,0,38,36.2,46,43.8,21,20,105,100,77,4,2,51,3,101,9,247,2,50,13,0,1,29,1,5,0,6,105,0,0,2,2,114,1,357
16,Meghalaya,308,383,113,14,2,1,821,155,13,10,178,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,143,7,178,167,1,0,168,775,13,0,788,0,0,0,0,0,0,0,0,942,14,0,956,0,0,40,22.5,102,57.3,36,20.2,178,100,124,4,0,32,41,148,7,354,0,120,4,20,19,0,0,0,7,7,177,0,0,0,0,155,22,553
17,Mizoram,49,391,145,19,1,4,609,418,11,8,437,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,393,13,437,412,17,0,429,555,45,0,600,0,0,0,0,2,1,0,3,969,63,0,1032,0,0,184,42.1,225,51.5,28,6.4,437,100,42,4,0,9,6,75,1,137,0,124,1,38,0,0,24,27,0,9,223,0,0,0,0,76,29,389
18,Nagaland,54,177,21,5,2,2,261,82,13,0,95,0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,73,0,95,95,0,0,95,255,6,0,261,35,0,0,35,0,0,0,0,385,6,0,391,0,0,34,35.8,45,47.4,16,16.8,95,100,48,3,0,19,6,19,6,101,0,28,33,9,1,0,0,1,0,3,75,1,0,0,0,25,17,194
19,Odisha,3940,7783,2788,896,138,74,15619,3041,203,1,3245,215,4,0,219,978,40,0,1018,12,0,0,12,2954,87,0,185,19,3245,3137,107,0,3244,15058,555,0,15613,13,0,0,13,4,0,0,4,18212,662,0,18874,0,0,808,24.9,1882,58,555,17.1,3245,100,3703,200,162,1178,482,2787,99,8611,18,821,44,357,749,283,76,105,23,123,2581,10,122,13,135,3183,544,11899
20,Punjab,4005,5636,5217,602,74,109,15643,2445,296,38,2779,27,0,0,27,173,0,0,173,0,0,0,0,828,203,1472,125,151,2779,2646,95,0,2741,14679,864,2,15545,0,0,0,0,0,0,0,0,17325,959,2,18286,0,0,956,34.4,1412,50.8,411,14.8,2779,100,1947,297,317,1067,738,875,59,5300,80,1575,65,139,165,119,109,373,24,134,2703,26,83,5,88,1339,752,8949
21,Rajasthan,4342,6662,3733,1405,304,484,16930,4666,444,21,5131,300,0,0,300,270,0,0,270,0,0,0,0,4164,721,197,17,32,5131,4957,152,1,5110,16470,438,0,16908,0,0,0,0,2,0,0,2,21429,590,1,22020,1,0,1703,33.2,2489,48.5,938,18.3,5131,100,3451,350,305,1110,582,2838,152,8788,207,1251,100,426,477,208,159,283,38,270,3212,133,237,16,253,3548,564,13157
22,Sikkim,16,217,85,10,0,0,328,101,23,0,124,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,22,20,124,123,1,0,124,317,11,0,328,0,0,0,0,0,0,0,0,440,12,0,452,0,0,23,18.5,74,59.7,27,21.8,124,100,23,0,0,8,0,48,0,79,0,10,5,3,0,0,1,4,0,1,24,0,0,0,0,48,103,206
23,Tamil Nadu,2732,3381,1634,527,319,116,8709,4104,12,45,4161,0,1,0,1,88,43,0,131,0,0,0,0,3177,559,0,406,19,4161,3953,163,0,4116,8203,436,6,8645,1404,24,2,1430,2,0,0,2,13562,623,8,14193,0,0,1166,28,2087,50.2,908,21.8,4161,100,1829,165,89,775,473,535,11,3877,67,1275,57,544,478,67,52,388,5,206,3072,6,36,21,57,692,163,7242
24,Telangana,720,1327,995,525,138,241,3946,1698,207,5,1910,3,0,0,3,79,3,0,82,0,0,0,0,1211,450,29,218,2,1910,1782,123,0,1905,3679,230,0,3909,249,8,0,257,0,0,0,0,5710,361,0,6071,0,0,514,26.9,1100,57.6,296,15.5,1910,100,329,89,56,239,234,273,145,1365,15,645,57,115,56,6,65,113,2,156,1215,105,55,15,70,544,117,2887
25,Tripura,45,356,53,14,4,0,472,384,3,8,395,0,0,0,0,0,0,0,0,0,0,0,0,301,47,0,33,14,395,369,18,0,387,446,8,0,454,0,0,0,0,3,0,0,3,818,26,0,844,0,0,70,17.7,242,61.3,83,21,395,100,88,4,1,19,18,61,1,192,0,36,6,3,2,0,5,0,0,9,61,0,14,0,14,77,65,332
26,Uttar Pradesh,26076,27727,16725,6731,856,2442,80557,26122,485,127,26734,417,22,5,444,0,69,0,69,0,0,0,0,21178,5411,114,17,14,26734,25463,1139,5,26607,76983,3281,3,80267,100,1,0,101,3,0,0,3,102549,4421,8,106978,0,0,5429,20.3,13328,49.9,7977,29.8,26734,100,12669,3510,8584,5857,4067,9030,1402,45119,525,6415,637,3382,2175,789,612,1365,239,1356,16970,236,1098,72,1170,20186,1877,65897
27,Uttarakhand,478,1485,1468,210,122,143,3906,1694,346,23,2063,0,0,0,0,0,0,0,0,0,0,0,0,1368,457,195,37,6,2063,1955,84,1,2040,3703,154,0,3857,0,0,0,0,0,0,0,0,5658,238,1,5897,0,0,470,22.8,999,48.4,594,28.8,2063,100,692,66,64,204,82,542,53,1703,11,530,34,138,54,35,24,53,4,94,966,9,2,1,3,662,157,2849
28,West Bengal,8735,7033,3536,674,56,110,20144,4782,119,466,5367,32,1,0,33,824,40,0,864,0,0,0,0,3516,1794,1,39,17,5367,4614,287,0,4901,17810,1037,2,18849,0,0,0,0,131,0,0,131,22555,1324,2,23881,0,0,908,16.9,2919,54.4,1540,28.7,5367,100,3437,297,273,1429,893,1404,130,7863,49,561,27,251,346,1811,73,114,12,54,3249,128,298,6,304,2111,695,12288
Total (States),Total (States),95882,143723,79223,22794,4753,6120,352495,103249,6153,979,110381,1170,34,5,1209,4006,221,0,4227,223,5,1,229,83696,19158,2537,3385,1605,110381,104888,4501,13,109402,335418,14078,49,349545,3252,62,3,3317,200,3,0,203,443758,18644,65,462467,5,0,31640,28.7,55064,49.9,23672,21.4,110381,100,68918,8437,14135,28207,14963,38010,4714,177384,2051,27217,2409,11675,9745,5302,2838,6239,692,5625,71742,1401,4143,395,4538,61397,11486,268602
29,A & N Islands,16,156,22,0,0,0,194,65,0,72,137,0,0,0,0,0,0,0,0,0,0,0,0,76,19,0,32,10,137,61,4,0,65,121,7,0,128,0,0,0,0,0,0,0,0,182,11,0,193,0,0,24,17.5,90,65.7,23,16.8,137,100,23,0,0,2,0,6,2,33,0,6,0,0,0,0,0,6,0,0,12,0,0,0,0,8,0,45
30,Chandigarh,125,256,167,52,7,12,619,200,145,4,349,0,0,0,0,0,0,0,0,0,0,0,0,290,23,31,5,0,349,333,12,0,345,577,33,0,610,0,0,0,0,0,0,0,0,910,45,0,955,0,0,153,43.8,163,46.7,33,9.5,349,100,84,25,0,27,31,70,7,244,0,130,0,55,9,3,16,10,0,12,235,0,0,0,0,77,12,491
31,Dadra and Nagar Haveli and Daman and Diu,36,40,43,19,0,0,138,6,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,15,14,1,0,15,132,6,0,138,4,0,0,4,0,0,0,0,150,7,0,157,0,0,2,13.3,11,73.3,2,13.3,15,100,62,0,0,18,2,40,0,122,0,0,0,3,1,0,1,0,0,0,5,0,0,0,0,40,3,130
32,Delhi,3286,5922,4313,674,104,207,14506,939,458,73,1470,0,0,0,0,0,0,0,0,0,0,0,0,1082,316,25,42,5,1470,1356,41,0,1397,13726,375,5,14106,7,0,0,7,3,0,0,3,15092,416,5,15513,0,0,484,32.9,791,53.8,195,13.3,1470,100,2506,187,301,1006,410,1915,159,6484,166,2422,73,971,1295,5,29,572,1,52,5420,8,21,65,86,2461,56,12220
33,Jammu & Kashmir,935,1213,1243,227,8,91,3717,127,22,10,159,0,0,0,0,165,0,0,165,0,0,0,0,74,76,7,0,2,159,146,3,0,149,3554,124,0,3678,211,0,0,211,0,0,0,0,3911,127,0,4038,0,0,27,17,97,61,35,22,159,100,1136,1,29,62,28,500,3,1759,0,86,0,0,1,0,0,3,0,4,94,2,0,1,1,533,71,1927
34,Ladakh,3,7,11,0,0,0,21,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,5,3,0,0,3,17,1,0,18,0,0,0,0,0,0,0,0,20,1,0,21,0,0,2,40,3,60,0,0,5,100,14,0,0,0,1,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19
35,Lakshadweep,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,100,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,14,67,49,5,15,6,156,58,14,0,72,0,0,0,0,0,0,0,0,0,0,0,0,63,5,0,4,0,72,72,0,0,72,152,4,0,156,10,0,0,10,0,0,0,0,234,4,0,238,0,0,2,2.8,53,73.6,17,23.6,72,100,63,1,0,5,0,0,0,69,0,17,0,6,0,0,0,0,0,0,23,0,0,0,0,0,30,122
Total (UTs),Total (UTs),4415,7663,5848,977,134,316,19353,1397,650,161,2208,0,0,0,0,165,0,0,165,0,0,0,0,1598,446,63,83,18,2208,1986,61,0,2047,18281,550,5,18836,232,0,0,232,3,0,0,3,20502,611,5,21118,0,0,694,31.4,1209,54.8,305,13.8,2208,100,3888,214,330,1120,472,2535,171,8730,166,2661,73,1035,1306,8,46,591,1,68,5789,10,21,66,87,3123,172,14954
Total (All-India),Total (All-India),100297,151386,85071,23771,4887,6436,371848,104646,6803,1140,112589,1170,34,5,1209,4171,221,0,4392,223,5,1,229,85294,19604,2600,3468,1623,112589,106874,4562,13,111449,353699,14628,54,368381,3484,62,3,3549,203,3,0,206,464260,19255,70,483585,5,0,32334,28.7,56273,50,23977,21.3,112589,100,72806,8651,14465,29327,15435,40545,4885,186114,2217,29878,2482,12710,11051,5310,2884,6830,693,5693,77531,1411,4164,461,4625,64520,11658,283556
